,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
1,1,M VERSTAPPEN,VER,Red Bull Racing,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,1.0,103.665,1.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,3.0,104.462,2.0
55,55,C SAINZ,SAI,Ferrari,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,2.0,104.297,3.0
63,63,G RUSSELL,RUS,Mercedes,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,8.0,105.776,4.0
14,14,F ALONSO,ALO,Alpine,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,6.0,105.368,5.0
16,16,C LECLERC,LEC,Ferrari,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,4.0,104.553,6.0
31,31,E OCON,OCO,Alpine,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,5.0,105.18,7.0
5,5,S VETTEL,VET,Aston Martin,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,16.0,106.344,8.0
10,10,P GASLY,GAS,AlphaTauri,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,12.0,105.827,9.0
23,23,A ALBON,ALB,Williams,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,9.0,105.837,10.0
18,18,L STROLL,STR,Aston Martin,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,14.0,106.611,11.0
4,4,L NORRIS,NOR,McLaren,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,10.0,106.178,12.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,19.0,106.692,13.0
24,24,G ZHOU,ZHO,Alfa Romeo,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,13.0,106.085,14.0
3,3,D RICCIARDO,RIC,McLaren,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,11.0,105.767,15.0
20,20,K MAGNUSSEN,MAG,Haas F1 Team,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,18.0,106.557,16.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,15.0,107.718,17.0
6,6,N LATIFI,LAT,Williams,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,17.0,106.401,18.0
77,77,V BOTTAS,BOT,Alfa Romeo,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,20.0,107.866,19.0
44,44,L HAMILTON,HAM,Mercedes,Circuit de Spa-Francorchamps,Belgium,21.78717948717949,0.0,7.0,105.503,20.0
