,driver_number,driver_name,driver_abb,team_name,circuit_name,circuit_country,circuit_temp,circuit_rain,quali_pos,quali_time,race_pos
33,33,M VERSTAPPEN,VER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,1.0,68.885,1.0
44,44,L HAMILTON,HAM,Mercedes,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,2.0,68.923,2.0
77,77,V BOTTAS,BOT,Mercedes,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,3.0,69.222,3.0
10,10,P GASLY,GAS,AlphaTauri,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,4.0,69.478,4.0
16,16,C LECLERC,LEC,Ferrari,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,5.0,69.527,5.0
14,14,F ALONSO,ALO,Alpine,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,9.0,69.956,6.0
55,55,C SAINZ,SAI,Ferrari,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,6.0,69.537,7.0
11,11,S PEREZ,PER,Red Bull Racing,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,16.0,70.53,8.0
31,31,E OCON,OCO,Alpine,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,8.0,69.933,9.0
4,4,L NORRIS,NOR,McLaren,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,13.0,70.406,10.0
3,3,D RICCIARDO,RIC,McLaren,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,10.0,70.166,11.0
18,18,L STROLL,STR,Aston Martin,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,12.0,70.367,12.0
5,5,S VETTEL,VET,Aston Martin,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,17.0,70.731,13.0
99,99,A GIOVINAZZI,GIO,Alfa Romeo Racing,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,7.0,69.59,14.0
88,88,R KUBICA,KUB,Alfa Romeo Racing,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,18.0,71.301,15.0
6,6,N LATIFI,LAT,Williams,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,14.0,71.161,16.0
63,63,G RUSSELL,RUS,Williams,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,11.0,70.332,17.0
47,47,M SCHUMACHER,MSC,Haas F1 Team,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,19.0,71.387,18.0
22,22,Y TSUNODA,TSU,AlphaTauri,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,15.0,71.314,19.0
9,9,N MAZEPIN,MAZ,Haas F1 Team,Circuit Park Zandvoort,Netherlands,21.504430379746836,0.0,20.0,71.875,20.0
